model,phase,actual,predicted,count
Gaussian Naive Bayes,isotonic,calm,angry,0
Gaussian Naive Bayes,isotonic,calm,calm,31
Gaussian Naive Bayes,isotonic,calm,disgust,0
Gaussian Naive Bayes,isotonic,calm,fearful,0
Gaussian Naive Bayes,isotonic,calm,happy,0
Gaussian Naive Bayes,isotonic,calm,neutral,0
Gaussian Naive Bayes,isotonic,calm,sad,1
Gaussian Naive Bayes,isotonic,calm,surprised,0
Gaussian Naive Bayes,isotonic,disgust,angry,4
Gaussian Naive Bayes,isotonic,disgust,calm,11
Gaussian Naive Bayes,isotonic,disgust,disgust,11
Gaussian Naive Bayes,isotonic,disgust,fearful,1
Gaussian Naive Bayes,isotonic,disgust,happy,3
Gaussian Naive Bayes,isotonic,disgust,neutral,0
Gaussian Naive Bayes,isotonic,disgust,sad,0
Gaussian Naive Bayes,isotonic,disgust,surprised,2
Gaussian Naive Bayes,isotonic,fearful,angry,1
Gaussian Naive Bayes,isotonic,fearful,calm,6
Gaussian Naive Bayes,isotonic,fearful,disgust,2
Gaussian Naive Bayes,isotonic,fearful,fearful,15
Gaussian Naive Bayes,isotonic,fearful,happy,3
Gaussian Naive Bayes,isotonic,fearful,neutral,0
Gaussian Naive Bayes,isotonic,fearful,sad,5
Gaussian Naive Bayes,isotonic,fearful,surprised,0
Gaussian Naive Bayes,isotonic,happy,angry,1
Gaussian Naive Bayes,isotonic,happy,calm,6
Gaussian Naive Bayes,isotonic,happy,disgust,3
Gaussian Naive Bayes,isotonic,happy,fearful,9
Gaussian Naive Bayes,isotonic,happy,happy,4
Gaussian Naive Bayes,isotonic,happy,neutral,0
Gaussian Naive Bayes,isotonic,happy,sad,5
Gaussian Naive Bayes,isotonic,happy,surprised,4
Gaussian Naive Bayes,isotonic,neutral,angry,0
Gaussian Naive Bayes,isotonic,neutral,calm,11
Gaussian Naive Bayes,isotonic,neutral,disgust,0
Gaussian Naive Bayes,isotonic,neutral,fearful,0
Gaussian Naive Bayes,isotonic,neutral,happy,0
Gaussian Naive Bayes,isotonic,neutral,neutral,0
Gaussian Naive Bayes,isotonic,neutral,sad,5
Gaussian Naive Bayes,isotonic,neutral,surprised,0
Gaussian Naive Bayes,isotonic,sad,angry,0
Gaussian Naive Bayes,isotonic,sad,calm,16
Gaussian Naive Bayes,isotonic,sad,disgust,0
Gaussian Naive Bayes,isotonic,sad,fearful,3
Gaussian Naive Bayes,isotonic,sad,happy,4
Gaussian Naive Bayes,isotonic,sad,neutral,0
Gaussian Naive Bayes,isotonic,sad,sad,9
Gaussian Naive Bayes,isotonic,sad,surprised,0
Gaussian Naive Bayes,isotonic,surprised,angry,2
Gaussian Naive Bayes,isotonic,surprised,calm,14
Gaussian Naive Bayes,isotonic,surprised,disgust,2
Gaussian Naive Bayes,isotonic,surprised,fearful,4
Gaussian Naive Bayes,isotonic,surprised,happy,4
Gaussian Naive Bayes,isotonic,surprised,neutral,0
Gaussian Naive Bayes,isotonic,surprised,sad,0
Gaussian Naive Bayes,isotonic,surprised,surprised,6
Gaussian Naive Bayes,temperature,angry,angry,17
Gaussian Naive Bayes,temperature,angry,calm,2
Gaussian Naive Bayes,temperature,angry,disgust,4
Gaussian Naive Bayes,temperature,angry,fearful,4
Gaussian Naive Bayes,temperature,angry,happy,2
Gaussian Naive Bayes,temperature,angry,neutral,0
Gaussian Naive Bayes,temperature,angry,sad,1
Gaussian Naive Bayes,temperature,angry,surprised,2
Gaussian Naive Bayes,temperature,calm,angry,0
Gaussian Naive Bayes,temperature,calm,calm,30
Gaussian Naive Bayes,temperature,calm,disgust,0
Gaussian Naive Bayes,temperature,calm,fearful,0
Gaussian Naive Bayes,temperature,calm,happy,0
Gaussian Naive Bayes,temperature,calm,neutral,0
Gaussian Naive Bayes,temperature,calm,sad,2
Gaussian Naive Bayes,temperature,calm,surprised,0
Gaussian Naive Bayes,temperature,disgust,angry,7
Gaussian Naive Bayes,temperature,disgust,calm,6
Gaussian Naive Bayes,temperature,disgust,disgust,16
Gaussian Naive Bayes,temperature,disgust,fearful,0
Gaussian Naive Bayes,temperature,disgust,happy,1
Gaussian Naive Bayes,temperature,disgust,neutral,0
Gaussian Naive Bayes,temperature,disgust,sad,2
Gaussian Naive Bayes,temperature,disgust,surprised,0
Gaussian Naive Bayes,temperature,fearful,angry,1
Gaussian Naive Bayes,temperature,fearful,calm,3
Gaussian Naive Bayes,temperature,fearful,disgust,2
Gaussian Naive Bayes,temperature,fearful,fearful,12
Gaussian Naive Bayes,temperature,fearful,happy,5
Gaussian Naive Bayes,temperature,fearful,neutral,2
Gaussian Naive Bayes,temperature,fearful,sad,6
Gaussian Naive Bayes,temperature,fearful,surprised,1
Gaussian Naive Bayes,temperature,happy,angry,1
Gaussian Naive Bayes,temperature,happy,calm,3
Gaussian Naive Bayes,temperature,happy,disgust,3
Gaussian Naive Bayes,temperature,happy,fearful,8
Gaussian Naive Bayes,temperature,happy,happy,4
Gaussian Naive Bayes,temperature,happy,neutral,2
Gaussian Naive Bayes,temperature,happy,sad,6
Gaussian Naive Bayes,temperature,happy,surprised,5
Gaussian Naive Bayes,temperature,neutral,angry,0
Gaussian Naive Bayes,temperature,neutral,calm,5
Gaussian Naive Bayes,temperature,neutral,disgust,0
Gaussian Naive Bayes,temperature,neutral,fearful,0
Gaussian Naive Bayes,temperature,neutral,happy,0
Gaussian Naive Bayes,temperature,neutral,neutral,5
Gaussian Naive Bayes,temperature,neutral,sad,6
Gaussian Naive Bayes,temperature,neutral,surprised,0
Gaussian Naive Bayes,temperature,sad,angry,0
Gaussian Naive Bayes,temperature,sad,calm,12
Gaussian Naive Bayes,temperature,sad,disgust,0
Gaussian Naive Bayes,temperature,sad,fearful,1
Gaussian Naive Bayes,temperature,sad,happy,6
Gaussian Naive Bayes,temperature,sad,neutral,0
Gaussian Naive Bayes,temperature,sad,sad,13
Gaussian Naive Bayes,temperature,sad,surprised,0
Gaussian Naive Bayes,temperature,surprised,angry,3
Gaussian Naive Bayes,temperature,surprised,calm,7
Gaussian Naive Bayes,temperature,surprised,disgust,4
Gaussian Naive Bayes,temperature,surprised,fearful,3
Gaussian Naive Bayes,temperature,surprised,happy,3
Gaussian Naive Bayes,temperature,surprised,neutral,4
Gaussian Naive Bayes,temperature,surprised,sad,1
Gaussian Naive Bayes,temperature,surprised,surprised,7
