split,stage,accuracy,macro_f1,log_loss,brier_score
split_original,before,0.44583333333333336,0.4437089778955432,1.5041644523597397,0.7011275925925927
split_original,after,0.44166666666666665,0.4057166060736229,1.505466436481074,0.6952788605892023
split_swap,before,0.49583333333333335,0.4771603740559676,1.5275005521604217,0.7086364814814814
split_swap,after,0.4583333333333333,0.4358676510570002,1.522512327849511,0.6908942088287087
split_shift_1,before,0.5125,0.5024124805386149,1.5040877136027375,0.6973841666666666
split_shift_1,after,0.45416666666666666,0.45453060966466874,1.4433849165583665,0.6712617183129306
split_shift_2,before,0.4083333333333333,0.3867904573501709,1.6893677178996187,0.7434932407407407
split_shift_2,after,0.39166666666666666,0.3698312594549197,1.7898259818060922,0.7664006225564639
