model,calibration_mode,accuracy,macro_f1,log_loss,brier_score
random_forest,none,0.44583333333333336,0.4437089778955432,1.5041644523597397,0.7011275925925927
random_forest,sigmoid,0.44166666666666665,0.4057166060736229,1.505466436481074,0.6952788605892023
random_forest,isotonic,0.3958333333333333,0.3702537918706605,2.1841967105762525,0.7273808939907741
random_forest,cv_sigmoid,0.45,0.4280451189547479,1.4280019870744616,0.669549943442568
svm,none,0.16666666666666666,0.13010385709264052,1.9906350938814492,0.8516418151978814
svm,sigmoid,0.21666666666666667,0.1514108559303141,1.9845675826054925,0.8542442231412105
svm,isotonic,0.17083333333333334,0.14586822847351666,5.571741260570175,0.8822341286603462
svm,cv_sigmoid,0.22916666666666666,0.16068569476588346,1.993820173736634,0.8533695437778059
gradient_boosting,none,0.4666666666666667,0.4237439242044505,1.5016885520010967,0.700868212646654
gradient_boosting,sigmoid,0.45416666666666666,0.3833338343401612,1.5518394907145265,0.7020989335703505
gradient_boosting,isotonic,0.42083333333333334,0.3675142339544514,2.9014515483314645,0.7242412272767875
gradient_boosting,cv_sigmoid,0.44583333333333336,0.3855082229165787,1.4874400232841603,0.687447451515596
