calib_size,seed,accuracy,macro_f1,log_loss,brier_score
100,0,0.42083333333333334,0.36912546070882457,1.4979825344976034,0.7030967780139723
100,1,0.44166666666666665,0.44064033753573306,1.4767617660890395,0.690903914391963
100,2,0.42916666666666664,0.3795330195979122,1.5556615406547147,0.7063875177678203
100,3,0.43333333333333335,0.39193980965803166,1.5217061351808003,0.6948024837094114
100,4,0.42916666666666664,0.392950637316062,1.555886027954043,0.7007569729580505
100,5,0.45,0.4514388151927934,1.4955218494011862,0.6934374611193965
100,6,0.42916666666666664,0.4057343935167793,1.5420398935026427,0.7097999078009123
100,7,0.44166666666666665,0.40149889688464646,1.5302326723378503,0.6962358306763449
100,8,0.425,0.37917581971100767,1.582486393558619,0.7090739522388141
100,9,0.43333333333333335,0.3977088132789887,1.506431142670645,0.6900987354944533
240,0,0.44166666666666665,0.4057166060736229,1.505466436481074,0.6952788605892023
240,1,0.44166666666666665,0.4057166060736229,1.505466436481074,0.6952788605892023
240,2,0.44166666666666665,0.4057166060736229,1.505466436481074,0.6952788605892023
240,3,0.44166666666666665,0.4057166060736229,1.505466436481074,0.6952788605892023
240,4,0.44166666666666665,0.4057166060736229,1.505466436481074,0.6952788605892023
240,5,0.44166666666666665,0.4057166060736229,1.505466436481074,0.6952788605892023
240,6,0.44166666666666665,0.4057166060736229,1.505466436481074,0.6952788605892023
240,7,0.44166666666666665,0.4057166060736229,1.505466436481074,0.6952788605892023
240,8,0.44166666666666665,0.4057166060736229,1.505466436481074,0.6952788605892023
240,9,0.44166666666666665,0.4057166060736229,1.505466436481074,0.6952788605892023
