emotion,brier_before,brier_after_mean,brier_improvement_rate,ece_before,ece_after_mean,ece_improvement_rate
angry,0.07392,0.06744572128117983,1.0,0.050111111111111106,0.04760627911153997,0.65
disgust,0.09509837962962964,0.08839557474587578,0.95,0.07348611111111111,0.05434120696412972,1.0
sad,0.10168277777777777,0.10024749247114173,0.8,0.04502777777777779,0.06936664187688821,0.05
surprised,0.0999210648148148,0.09896436898622364,0.75,0.05534722222222223,0.06465700619997697,0.25
calm,0.0741549074074074,0.07307579793803733,0.6,0.09097222222222222,0.06978942449153072,1.0
neutral,0.04991064814814815,0.051061529952874066,0.3,0.04399999999999999,0.04358930458339496,0.45
happy,0.10628106481481482,0.10698185280749366,0.3,0.01718055555555557,0.03835611189453953,0.0
fearful,0.10015875,0.11442826360677713,0.0,0.025680555555555554,0.07185317032201871,0.0
