feature_set,n_features,accuracy,macro_f1,log_loss,brier_score
baseline,62,0.44583333333333336,0.4437089778955432,1.5041644523597397,0.7011275925925927
baseline_plus_chroma,86,0.42916666666666664,0.41937515077483295,1.6391770850866874,0.7022287962962963
baseline_plus_contrast,76,0.475,0.44935684943727505,1.491110001099406,0.6963019444444445
baseline_plus_pitch,65,0.475,0.4535075395136663,1.4918494047640702,0.6992483333333334
baseline_plus_rhythm,65,0.425,0.4196059712824635,1.627933141407963,0.6964762962962964
baseline_plus_mfcc20,102,0.425,0.4219143993795203,1.489046480344723,0.6977888888888889
baseline_plus_mfcc40,142,0.4583333333333333,0.44990541559157765,1.4943392021979502,0.6974667592592593
baseline_plus_all,226,0.4125,0.4124617098869128,1.5290581134364511,0.7095984259259259
baseline_plus_pitch_contrast,79,0.4708333333333333,0.4609146310732101,1.47471228168265,0.6912154629629631
